CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
43738,ASTR,596,Physical Cosmology,PC,LEC,120081,"Fields, Brian D",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30887,ATMS,100,Introduction to Meteorology,AL1,LEC,120081,"Charlevoix-Romi, Donna J",0,52,42,71,102,27,15,26,3,2,5,0,3,0,3.09
30891,ATMS,120,Severe and Hazardous Weather,B,LEC,120081,"Snodgrass, Eric R",33,67,50,35,30,15,15,5,3,0,1,0,3,2,3.43
39406,ATMS,120,Severe and Hazardous Weather,C,LEC,120081,"Snodgrass, Eric R",0,30,14,13,24,2,3,3,0,1,0,0,0,1,3.4
44060,ATMS,120,Severe and Hazardous Weather,D,LEC,120081,"Snodgrass, Eric R",15,52,15,14,25,7,9,3,6,2,0,0,0,0,3.4
30894,ATMS,140,Climate and Global Change,A,LCD,120081,"Jain, Atul",5,17,0,2,22,0,1,6,0,1,3,1,3,0,2.95
48377,ATMS,201,General Meteorology,A,LCD,120081,"Baidya Roy, Somnath",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48387,ATMS,402,Atmospheric Dynamics II,A,LCD,120081,"Mak, Mankin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
48388,ATMS,406,Tropical Meteorology,A,LCD,120081,"Nesbitt, Stephen",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30897,ATMS,411,Satellite Remote Sensing,A,LCD,120081,"Di Girolamo, Larry",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
49067,ATMS,500,Synoptic Meteorology,A,LCD,120081,"Rauber, Robert M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43704,ATMS,511,Atmospheric Radiation,A,LCD,120081,"Schlesinger, Michael E",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39361,ATMS,563,Tchg Higher Ed Earth & Env Sci,A,LEC,120081,"Charlevoix-Romi, Donna J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29863,AVI,101,Private Pilot I,AE1,LCD,120081,"Hinebaugh, Kristina L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30095,AVI,120,Private Pilot II,AE1,LCD,120081,"Hinebaugh, Kristina L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30096,AVI,120,Private Pilot II,AE2,LCD,120081,"Bowers, Timothy P",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30167,AVI,121,Private Pilot Requalification,AEA,LCD,120081,"Hinebaugh, Kristina L",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30398,AVI,130,Commercial - Instrument I,AEA,LCD,120081,"Jones, William M",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30467,AVI,140,Commercial - Instrument II,AEA,LCD,120081,"Lucas, David J",0,11,9,3,4,1,1,2,0,0,0,0,0,0,3.48
30495,AVI,184,Aircraft Systems for Pilots,A,LCD,120081,"West, Lawrence R",8,3,3,2,1,0,1,3,0,0,1,0,0,0,3.36
30518,AVI,200,Commercial Pilot I,AEA,LCD,120081,"Seloover, Charles H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30552,AVI,210,Commercial Pilot II,AEA,LCD,120081,"Suppok, Regis J",2,8,3,3,3,1,2,0,0,0,1,0,1,0,3.26
