CRN,Course Subject,Course Number,Course Title,Course Section,Sched Type,Term,Primary Instructor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade
30859,LIR,566,International HR Management,1,LCD,120078,"Lawler, John J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30860,LIR,567,Negotiation in HR Decisions,1,LCD,120078,"Northcraft, Gregory B",0,7,10,5,10,2,0,0,0,0,0,0,0,0,3.43
39547,LIR,568,Firm Performance and HR,A,LCD,120078,"Ericksen, Gerald A",0,18,7,6,4,0,0,0,0,0,0,0,0,0,3.7
35006,LIR,590,Individual Topics,E,LCD,120078,"Leroy, Michael H",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
36014,LIR,590,Individual Topics,K,LCD,120078,"Dencker, John C",3,12,4,5,0,0,1,0,0,0,0,0,0,0,3.75
36046,LIR,590,Individual Topics,L,LCD,120078,"Joshi, Aparna",1,28,7,1,0,0,0,0,0,0,0,0,0,0,3.92
35844,LIR,590,Individual Topics,M,LCD,120078,"Joshi, Aparna",2,17,7,1,0,0,0,0,0,0,0,0,0,0,3.89
49719,LIR,590,Individual Topics,ST,LCD,120078,"Barrett, Betty J",0,4,14,7,4,2,0,0,0,0,0,0,0,1,3.48
50413,LIR,591,Employment Relations Systems,2,LCD,120078,"Martocchio, Joseph J",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
30862,LIR,591,Employment Relations Systems,A,LCD,120078,"Martocchio, Joseph J",0,55,1,0,0,0,2,0,0,0,0,0,0,0,3.94
31912,LIR,593,Quanitative Methods in LIR,AE1,LCD,120078,"Brown, Kristine",0,5,3,5,6,5,2,0,0,0,0,0,0,1,3.22
31914,LIR,593,Quanitative Methods in LIR,BE1,LCD,120078,"Brown, Kristine",1,8,10,5,3,4,0,0,0,0,0,0,0,0,3.52
48354,LIR,593,Quanitative Methods in LIR,CE1,LCD,120078,"Brown, Kristine",1,6,9,8,4,5,0,0,0,0,0,0,0,0,3.42
49731,LIR,598,Des High-Involvemt Workplaces,1,LCD,120078,"Cutcher-Gershen, Joel E",2,12,7,7,10,5,3,0,0,0,0,0,0,1,3.38
33277,LIS,201,Info Technology and Orgs,A,LCD,120078,"Gant, Jon P",0,13,13,11,15,5,1,2,4,0,0,0,0,0,3.25
